# <!-- Vector B, Gradient Descent -->
# RunManager log started at Mon Nov  1 23:25:49 2010
270.79061643865492 1.7855050020613019 1.8160281143978823 -0.4051659180970375 0.56050800548419288 97.672923576598237, 97.6729235766
290.79061643865492 1.7855050020613019 1.8160281143978823 -0.4051659180970375 0.56050800548419288 77.472575792986262, 77.472575793
310.79061643865492 2.1605050020613019 1.8160281143978823 -0.60516591809703746 0.36050800548419293 82.28000972289685, 82.2800097229
290.79061643865492 1.4105050020613019 1.6160281143978823 -0.4051659180970375 0.56050800548419288 87.114866699088736, 87.1148666991
290.79061643865492 2.1605050020613019 1.6160281143978823 -0.60516591809703746 0.36050800548419293 48.846698967279252, 48.8466989673
328.92621536117286 1.7851620276212767 1.6160281143978823 -0.50545559188097955 0.400160593818772 77.414468931847622, 77.4144689318
328.92621536117286 1.7851620276212767 1.8160281143978823 -0.40545559188097957 0.30016059381877203 71.007041904306931, 71.0070419043
348.92621536117286 1.4101620276212767 1.6160281143978823 -0.50545559188097955 0.50016059381877198 33.120990323358392, 33.1209903234
348.92621536117286 1.4101620276212767 1.4160281143978823 -0.60545559188097953 0.50016059381877198 60.406953242155822, 60.4069532422
328.92621536117286 1.7851620276212767 1.4160281143978823 -0.60545559188097953 0.30016059381877203 142.33762678926468, 142.337626789
348.92621536117286 1.7851620276212767 1.6160281143978823 -0.40545559188097957 0.30016059381877203 119.85407794480753, 119.854077945
348.92621536117286 1.4101620276212767 1.6160281143978823 -0.40545559188097957 0.50016059381877198 17.720045146669349, 17.7200451467
308.92621536117286 1.4101620276212767 1.8160281143978823 -0.50545559188097955 0.400160593818772 43.416586692184822, 43.4165866922
308.92621536117286 1.7851620276212767 1.4160281143978823 -0.50545559188097955 0.400160593818772 28.301943396169811, 28.3019433962
328.92621536117286 1.7851620276212767 1.6160009522385019 -0.50599620772413001 0.20016132494494732 26.0, 26.0
